,Unnamed: 0,From,To,Time,Distance,Avg Speed,Altitude From,Altitude To,Slope,Slope %,Slope Angle,Bus Stop,Final Stop,Zone Type,Green Zone,Solution,Energy consumed,Remaining charge %,Green kms,CO2 emissions
0,0,"(41.42587477983019, 2.181850512965367)","(41.425232, 2.18058)",53.3,236.2,4.431519699812383,40.757999420166016,42.08700180053711,0.0056265977153729,0.5626597715372963,0.0056265383397618,1,0,0,0,0,0.07831801683610883,8.821681983163892,0.025,0.13049618460209303
1,1,"(41.425232, 2.18058)","(41.42356022416793, 2.182622781541497)",25.9,251.9,9.725868725868727,42.08700180053711,37.66400146484375,-0.0175585563147811,-1.7558556314781102,-0.0175567521972217,0,0,0,0,1,-0.01791853245791419,8.87875952403986,0.2519,0.0
2,2,"(41.42356022416793, 2.182622781541497)","(41.42199604967476, 2.1838588800681973)",36.9,222.7,6.035230352303523,37.66400146484375,34.69900131225586,-0.0133138758535603,-1.3313875853560353,-0.0133130892678217,1,0,0,0,1,0.16939928166204918,8.782951366608373,0.22269999999999998,0.0
3,3,"(41.42199604967476, 2.1838588800681973)","(41.42055698851728, 2.1838522538555134)",38.4,160.1,4.169270833333333,34.69900131225586,33.044998168945305,-0.0103310627314837,-1.0331062731483742,-0.0103306952072922,1,0,0,0,1,0.11819202464912847,8.697342717847226,0.1601,0.0
4,4,"(41.42055698851728, 2.1838522538555134)","(41.419654, 2.183354)",28.9,120.3,4.162629757785467,33.044998168945305,35.27000045776367,0.0184954471223471,1.8495447122347128,0.0184933385712803,1,0,0,0,0,0.08891818671292148,8.608424531134304,0.025,0.09616856047637647
5,5,"(41.419654, 2.183354)","(41.419216, 2.182771)",140.3,693.5,4.942979330007127,35.27000045776367,36.902000427246094,0.0023532804174223,0.2353280417422382,0.002353276073337,0,0,0,0,0,0.08891818671292148,8.608424531134304,0.025,0.3614532375950006
6,6,"(41.419216, 2.182771)","(41.418549024834626, 2.1817928914463813)",27.0,112.5,4.166666666666667,36.902000427246094,39.47000122070313,0.022826673719617996,2.2826673719618062,0.0228227102923526,0,0,0,0,0,0.08891818671292148,8.652883624490764,0.025,0.12800631320539627
7,7,"(41.418549024834626, 2.1817928914463813)","(41.417536, 2.180405)",50.0,255.8,5.1160000000000005,39.47000122070313,45.012001037597656,0.0216653628494704,2.1665362849470413,0.021661973983768998,1,0,0,0,0,0.09152740182106475,8.5613562226697,0.025,0.25467450989924156
8,8,"(41.417536, 2.180405)","(41.41526944447349, 2.1796682001466987)",47.8,282.6,5.91213389121339,45.012001037597656,46.4375,0.005044228458607,0.5044228458607021,0.0050441856770723,0,0,0,0,0,0.09152740182106475,8.624980357509434,0.025,0.16896493271716945
9,9,"(41.41526944447349, 2.1796682001466987)","(41.414702, 2.178987)",120.1,627.1,5.221482098251458,46.4375,47.862998962402344,0.0022731605204948,0.2273160520494887,0.0022731566051708,1,0,0,0,0,0.07555448801891088,8.549425869490523,0.025,0.31668154980059016
10,10,"(41.414702, 2.178987)","(41.414328, 2.178494)",189.7,790.2,4.165524512387981,47.862998962402344,49.45399856567383,0.0020134138234263,0.2013413823426328,0.0020134111027503,0,0,0,0,1,1.0759065735485127,7.473519295942011,0.7902,0.0
11,11,"(41.414328, 2.178494)","(41.413256705008955, 2.17698222701601)",21.6,174.8,8.092592592592592,49.45399856567383,52.0250015258789,0.0147082549210816,1.4708254921081685,0.0147071944329214,0,0,1,0,1,0.40876871429519673,7.117193676825041,0.1748,0.0
12,12,"(41.413256705008955, 2.17698222701601)","(41.411504155337994, 2.173991929606326)",41.4,365.2,8.821256038647341,52.0250015258789,54.75500106811523,0.0074753547158716,0.7475354715871655,0.0074752154772868,1,0,1,0,1,0.8507543743989132,6.468933463957933,0.36519999999999997,0.0
13,13,"(41.411504155337994, 2.173991929606326)","(41.4128012216389, 2.172287347950617)",29.2,203.0,6.9520547945205475,54.75500106811523,71.37999725341797,0.0818965329325257,8.18965329325258,0.0817141717362116,1,0,1,0,1,1.4273963851688978,5.250278602016261,0.203,0.0
14,14,"(41.4128012216389, 2.172287347950617)","(41.413525, 2.171268)",17.2,118.5,6.8895348837209305,71.37999725341797,84.70999908447266,0.1124894669287315,11.248946692873156,0.112018560985624,1,0,1,0,1,0.9827610896262136,4.267517512390047,0.1185,0.0
15,15,"(41.413525, 2.171268)","(41.41423487411256, 2.172284536564723)",28.1,117.3,4.174377224199288,84.70999908447266,81.65799713134766,-0.0260187719789002,-2.6018771978900257,-0.0260129029969249,0,0,1,0,1,-0.035812088100700835,4.548963160373459,0.1173,0.0
16,16,"(41.41423487411256, 2.172284536564723)","(41.41513493161696, 2.173497404519818)",34.2,142.6,4.169590643274853,81.65799713134766,82.77399826049805,0.0078260948748274,0.7826094874827425,0.0078259351037692,1,1,1,0,1,0.2938523498376776,4.295176010387059,0.1426,0.0
17,17,"(41.41513493161696, 2.173497404519818)","(41.415628, 2.172978)",95.8,594.6,6.2066805845511475,82.77399826049805,83.88999938964844,0.0018768939272626,0.1876893927262681,0.0018768917233366,1,0,1,0,1,0.8903745827902019,3.404801427596857,0.5946,0.0
18,18,"(41.415628, 2.172978)","(41.41424300487701, 2.1710361897039823)",24.7,224.0,9.068825910931174,83.88999938964844,91.01300048828124,0.0317991120474679,3.1799112047467917,0.0317884002995511,0,0,0,0,0,0.8903745827902019,3.4934153561892223,0.5946,0.31405332898895033
19,19,"(41.41424300487701, 2.1710361897039823)","(41.414405, 2.170099)",16.7,121.8,7.293413173652695,91.01300048828124,101.62000274658205,0.0870854044195466,8.708540441954666,0.0868662527082867,1,0,0,0,0,0.14496439055208238,3.3484509656371397,0.025,0.2562962987235674
20,20,"(41.414405, 2.170099)","(41.4152, 2.169339)",10.1,112.8,11.168316831683168,101.62000274658205,109.56750106811523,0.0704565454036631,7.045654540366316,0.070340306394819,0,0,0,0,0,0.14496439055208238,3.3484509656371397,0.025,0.2888910908051678
21,21,"(41.4152, 2.169339)","(41.415622, 2.169383)",215.7,1439.0,6.671302735280483,109.56750106811523,117.51499938964844,0.0055229314256658,0.5522931425665881,0.0055228752717884,0,0,0,0,0,0.14496439055208238,3.3484509656371397,0.025,0.8802575098943195
22,22,"(41.415622, 2.169383)","(41.415725611497464, 2.1677304116276956)",25.3,137.7,5.442687747035572,117.51499938964844,124.19499969482422,0.0485112585706302,4.851125857063024,0.0484732576828845,0,0,0,0,0,0.14496439055208238,3.5634875284532437,0.025,0.26058433835230493
23,23,"(41.415725611497464, 2.1677304116276956)","(41.415203, 2.166461)",24.9,122.5,4.9196787148594385,124.19499969482422,120.87149810791016,-0.0271306251992984,-2.7130625199298466,-0.0271239714504169,1,0,0,0,1,0.03570756422762711,3.5277799642256165,0.1225,0.0
24,24,"(41.415203, 2.166461)","(41.41483004180766, 2.1648905222451322)",28.5,146.1,5.126315789473684,120.87149810791016,117.5479965209961,-0.0227481285894186,-2.2748128589418646,-0.022744205926814,0,0,0,0,1,-0.03489633515013546,3.598162757747881,0.1461,0.0
25,25,"(41.41483004180766, 2.1648905222451322)","(41.41417957950397, 2.162303315424577)",31.6,226.1,7.15506329113924,117.5479965209961,115.68800354003906,-0.0082264174301505,-0.8226417430150514,-0.008226231866315,1,0,0,0,1,0.2780926061469493,3.4180118696623665,0.2261,0.0
26,26,"(41.41417957950397, 2.162303315424577)","(41.41311409441618, 2.1615325065523847)",24.1,167.0,6.9294605809128615,115.68800354003906,109.25299835205078,-0.0385329651975346,-3.8532965197534614,-0.0385139110566408,1,0,0,0,1,0.026001658052979482,3.4525324365045558,0.167,0.0
27,27,"(41.41311409441618, 2.1615325065523847)","(41.412306, 2.162351)",15.3,113.2,7.3986928104575185,109.25299835205078,98.697998046875,-0.0932420521658638,-9.324205216586376,-0.0929732350863661,1,0,0,0,1,-0.11073484344392341,3.5632672799484792,0.11320000000000001,0.0
28,28,"(41.412306, 2.162351)","(41.41174873319583, 2.1639999634237177)",38.4,156.5,4.075520833333334,98.697998046875,89.15399932861328,-0.0609840173690844,-6.098401736908446,-0.060908584742775,0,0,0,0,1,-0.24407295124311848,3.8054708857978854,0.1565,0.0
