,Unnamed: 0,From,To,Time,Distance,Avg Speed,Altitude From,Altitude To,Slope,Slope %,Slope Angle,Bus Stop,Final Stop,Zone Type,Green Zone,Solution,Energy consumed,Remaining charge %,Green kms,CO2 emissions
0,0,"(41.38459458012314, 2.110913597933213)","(41.384308, 2.111508)",24.3,111.3,4.580246913580247,77.79900360107422,76.58499908447266,-0.010907497902979001,-1.0907497902979,-0.0109070653660827,1,0,0,3,1,0.11639939015463847,8.783600609845362,0.1113,0.0
1,1,"(41.384308, 2.111508)","(41.38483770835059, 2.1139921265041735)",40.8,218.2,5.348039215686273,76.58499908447266,71.76200103759766,-0.0221035657510311,-2.2103565751031167,-0.0220999671103837,0,0,0,3,1,-0.048491917932944786,8.876931701130294,0.21819999999999998,0.0
2,2,"(41.38483770835059, 2.1139921265041735)","(41.38583211984118, 2.117935833971292)",44.7,347.0,7.7628635346756125,71.76200103759766,66.92800140380861,-0.0139308346795073,-1.3930834679507385,-0.0139299336072993,1,0,0,3,1,0.2446211083720164,8.743103827480175,0.347,0.0
3,3,"(41.38583211984118, 2.117935833971292)","(41.38658588817591, 2.1208938865502462)",29.2,260.9,8.934931506849313,66.92800140380861,66.66999816894531,-0.0009888970289891,-0.0988897028989196,-0.0009888967066362,1,0,0,3,1,0.5303298896473609,8.397132171270812,0.26089999999999997,0.0
4,4,"(41.38658588817591, 2.1208938865502462)","(41.38783413330048, 2.1257992586334686)",41.7,432.2,10.364508393285373,66.66999816894531,64.39700317382811,-0.0052591277073511,-0.5259127707351198,-0.0052590792217607,1,0,0,3,1,0.6939782681105471,7.938767172801412,0.4322,0.0
5,5,"(41.38783413330048, 2.1257992586334686)","(41.38932613722201, 2.1280282062262184)",44.3,303.7,6.855530474040632,64.39700317382811,64.62699890136719,0.0007573122408266,0.0757312240826679,0.0007573120960483,1,0,0,3,1,0.5087393055386903,7.5390756615868915,0.30369999999999997,0.0
6,6,"(41.38932613722201, 2.1280282062262184)","(41.39168606620779, 2.129243763554364)",32.2,282.5,8.773291925465838,64.62699890136719,74.47899627685547,0.0348743269928788,3.4874326992878872,0.0348601990317099,1,0,0,0,0,0.10238766937492698,7.697802446195168,0.025,0.41086030409499336
7,7,"(41.39168606620779, 2.129243763554364)","(41.392234, 2.129758)",60.3,252.6,4.189054726368158,74.47899627685547,76.56300354003906,0.0082502266951052,0.825022669510528,0.0082500395154447,1,0,0,0,1,0.5013746718119801,7.196427774383188,0.2526,0.0
8,8,"(41.392234, 2.129758)","(41.39302148697356, 2.131147239815073)",27.4,152.0,5.547445255474453,76.56300354003906,76.05599975585938,-0.0033355512117084,-0.3335551211708471,-0.0033355388414525,0,0,0,0,1,0.13952853330291148,7.097139171701639,0.152,0.0
9,9,"(41.39302148697356, 2.131147239815073)","(41.3948484638357, 2.1337183566869853)",27.0,297.7,11.025925925925925,76.05599975585938,74.9729995727539,-0.0036378911088527,-0.3637891108852767,-0.0036378750607246,1,0,0,0,0,0.07068280507846794,7.301068631731898,0.025,0.22544294293755415
10,10,"(41.3948484638357, 2.1337183566869853)","(41.396094, 2.133858)",33.4,177.9,5.326347305389222,74.9729995727539,73.30500030517578,-0.0093760498458579,-0.9376049845857928,-0.0093757751098639,1,0,0,0,1,0.18143854691579192,7.119630084816106,0.1779,0.0
11,11,"(41.396094, 2.133858)","(41.396836, 2.133189)",9.0,100.2,11.133333333333333,73.30500030517578,80.93199920654297,0.0761177535066585,7.611775350665858,0.0759712559150182,0,0,0,0,0,0.18143854691579192,7.119630084816106,0.1779,0.273271571687337
12,12,"(41.396836, 2.133189)","(41.397768, 2.132931)",17.3,115.3,6.664739884393063,80.93199920654297,88.3499984741211,0.064336507090877,6.433650709087706,0.0642479599686334,0,0,0,0,0,0.18143854691579192,7.119630084816106,0.1779,0.27195215031320896
13,13,"(41.397768, 2.132931)","(41.398897596756306, 2.133884736291009)",21.6,149.2,6.907407407407407,88.3499984741211,88.40799713134766,0.0003887309465587,0.0388730946558729,0.0003887309269781,0,0,0,0,1,0.18011896955144707,7.000066755528088,0.1492,0.0
14,14,"(41.398897596756306, 2.133884736291009)","(41.40113067514499, 2.1362809996426115)",55.9,319.5,5.715563506261183,88.40799713134766,96.7239990234375,0.0260281749361184,2.6028174936118447,0.0260222995905708,1,0,0,0,0,0.09511684544137612,6.992724439948806,0.025,0.36557601983472876
15,15,"(41.40113067514499, 2.1362809996426115)","(41.402388, 2.137559)",19.9,176.0,8.844221105527641,96.7239990234375,104.01599884033205,0.0414318171414462,4.14318171414462,0.0414081343057451,1,0,0,0,0,0.10776979895943571,6.8849546409893705,0.025,0.27109174681756715
16,16,"(41.402388, 2.137559)","(41.4030953745085, 2.138465148520255)",14.9,112.8,7.570469798657718,104.01599884033205,103.96299743652344,-0.00046987060114,-0.0469870601140015,-0.0004698705665609,0,0,0,0,1,0.12894397938170785,7.031118652510589,0.1128,0.0
17,17,"(41.4030953745085, 2.138465148520255)","(41.40425435886868, 2.1406215981364167)",20.6,222.7,10.810679611650484,103.96299743652344,93.75299835205078,-0.0458464260640891,-4.5846426064089165,-0.0458143450583344,1,0,0,0,1,0.15472272459741157,6.995123905864956,0.22269999999999998,0.0
18,18,"(41.40425435886868, 2.1406215981364167)","(41.4052847348094, 2.1440729248031394)",31.0,312.2,10.070967741935485,93.75299835205078,90.65299987792969,-0.0099295274635525,-0.9929527463552512,-0.0099292011472294,1,0,0,0,1,0.45929155357346496,6.7284230072698925,0.3122,0.0
19,19,"(41.4052847348094, 2.1440729248031394)","(41.40562230358714, 2.1466372307710144)",24.0,218.5,9.104166666666666,90.65299987792969,87.81449890136719,-0.0129908511513157,-1.299085115131579,-0.0129901204370387,1,0,0,0,0,0.06297506373119027,6.8240896228481915,0.025,0.10337365418358381
20,20,"(41.40562230358714, 2.1466372307710144)","(41.405803, 2.14794)",19.9,111.3,5.592964824120604,87.81449890136719,84.97599792480469,-0.0255031534282345,-2.5503153428234504,-0.0254976264092037,1,0,0,0,1,0.07170613186948602,6.752383490978706,0.1113,0.0
21,21,"(41.405803, 2.14794)","(41.40621483411256, 2.1490822935165927)",16.3,107.3,6.58282208588957,84.97599792480469,84.46299743652344,-0.0047809924350535,-0.4780992435053588,-0.0047809560077555,0,0,0,0,1,0.08593246381139,6.71460865477675,0.10729999999999999,0.0
22,22,"(41.40621483411256, 2.1490822935165927)","(41.40696, 2.149904)",26.1,107.1,4.1034482758620685,84.46299743652344,86.16000366210938,0.0158450627972543,1.584506279725432,0.0158437369447162,1,0,0,0,0,0.08673593246431258,6.627872722312437,0.025,0.07674990489130556
