,Unnamed: 0,From,To,Time,Distance,Avg Speed,Altitude From,Altitude To,Slope,Slope %,Slope Angle,Bus Stop,Final Stop,Zone Type,Green Zone,Solution,Energy consumed,Remaining charge %,Green kms,CO2 emissions
0,0,"(41.447955069952755, 2.1896274610580977)","(41.444545, 2.188527)",95.6,398.9,4.172594142259413,32.82699966430664,33.03499984741211,0.0005214344023701,0.0521434402370189,0.0005214343551119,1,0,0,0,1,0.5392935325510989,8.360706467448901,0.3989,0.0
1,1,"(41.444545, 2.188527)","(41.44196441970689, 2.1886478028114777)",78.3,319.0,4.0740740740740735,33.03499984741211,31.642000198364254,-0.0043667700597111,-0.4366770059711133,-0.0043667423038472,0,0,0,0,1,0.275447162251264,8.122314710775486,0.319,0.0
2,2,"(41.44196441970689, 2.1886478028114777)","(41.442187, 2.191923)",146.2,776.8,5.313269493844049,31.642000198364254,23.55699920654297,-0.0104080857258255,-1.040808572582555,-0.0104077099203525,1,0,0,0,1,0.38758230206177285,7.734732408713713,0.7767999999999999,0.0
3,3,"(41.442187, 2.191923)","(41.44283897585372, 2.193044449385161)",30.0,157.3,5.243333333333334,23.55699920654297,24.68600082397461,0.0071773783689233,0.7177378368923335,0.0071772551257573,0,0,0,0,0,0.38758230206177285,7.794494278093558,0.7767999999999999,0.10437534580026205
4,4,"(41.44283897585372, 2.193044449385161)","(41.446179402142434, 2.1934503479020333)",91.1,415.1,4.556531284302964,24.68600082397461,24.867000579833984,0.0004360389204032,0.0436038920403216,0.0004360388927685,1,0,0,0,1,0.5733697457621982,7.272507788073263,0.4151,0.0
5,5,"(41.446179402142434, 2.1934503479020333)","(41.44831297789975, 2.1995439590709553)",70.8,560.9,7.922316384180792,24.867000579833984,21.950000762939453,-0.0052005701852282,-0.5200570185228259,-0.0052005233012362,1,0,0,0,1,0.6149152954324868,6.781575298786815,0.5609,0.0
6,6,"(41.44831297789975, 2.1995439590709553)","(41.44718576108112, 2.20112206980369)",43.1,249.8,5.7958236658932725,21.950000762939453,17.05900001525879,-0.0195796667241019,-1.9579666724101936,-0.0195771652572564,1,0,0,0,1,0.0782668040404582,6.756018108273371,0.24980000000000002,0.0
7,7,"(41.44718576108112, 2.20112206980369)","(41.44458611729393, 2.1992566207280233)",90.3,421.3,4.665559246954596,17.05900001525879,16.920000076293945,-0.0003299310205669,-0.032993102056692,-0.0003299310085954,1,0,0,0,0,0.07340914671244825,6.733550317824625,0.025,0.18298830956410025
8,8,"(41.44458611729393, 2.1992566207280233)","(41.44167117010019, 2.1998232607690524)",59.6,328.4,5.510067114093959,16.920000076293945,14.86299991607666,-0.0062637032893339,-0.6263703289334,-0.0062636213745947,1,0,0,0,1,0.3216328948972449,6.474867016546064,0.32839999999999997,0.0
9,9,"(41.44167117010019, 2.1998232607690524)","(41.439198170770275, 2.2007921375871833)",78.6,314.2,3.9974554707379135,14.86299991607666,13.838000297546387,-0.003262252127722,-0.3262252127722067,-0.0032622405551859996,1,0,0,0,1,0.34744441174794216,6.1629188038875,0.3142,0.0
10,10,"(41.439198170770275, 2.2007921375871833)","(41.439207876410194, 2.2048191222772333)",69.0,390.8,5.663768115942029,13.838000297546387,12.541999816894533,-0.0033162755390272,-0.3316275539027266,-0.0033162633819912,1,0,0,0,1,0.4477922657579475,5.78034336064445,0.39080000000000004,0.0
11,11,"(41.439207876410194, 2.2048191222772333)","(41.43925505177168, 2.2080383915166517)",78.4,326.8,4.168367346938775,12.541999816894533,12.024999618530273,-0.001582007950931,-0.1582007950931021,-0.0015820066311433,1,0,0,0,1,0.3980903025956647,5.418441667455253,0.32680000000000003,0.0
12,12,"(41.43925505177168, 2.2080383915166517)","(41.43666495134372, 2.208287694176391)",79.2,329.8,4.1641414141414135,12.024999618530273,11.935999870300293,-0.00026985975812599997,-0.0269859758126077,-0.0002698597515752,1,0,0,4,1,0.4338678237349236,5.021303171478364,0.32980000000000004,0.0
13,13,"(41.43666495134372, 2.208287694176391)","(41.43612220410231, 2.203699949636872)",87.7,387.5,4.418472063854048,11.935999870300293,14.104000091552734,0.0055948392806514,0.5594839280651462,0.0055947809047722,1,0,0,4,1,0.6688935436151805,4.3915555511731394,0.3875,0.0
14,14,"(41.43612220410231, 2.203699949636872)","(41.43646697681218, 2.200978049284849)",46.2,293.0,6.341991341991341,14.104000091552734,15.21399974822998,0.0037883947326868,0.3788394732686847,0.003788376609245,1,0,0,4,1,0.5286480716169123,3.9534117692571344,0.293,0.0
15,15,"(41.43646697681218, 2.200978049284849)","(41.43867327596784, 2.1993862551073216)",63.7,427.6,6.7127158555729975,15.21399974822998,14.866999626159668,-0.0008115063659268,-0.0811506365926829,-0.0008115061877897,1,0,0,4,1,0.6152734431473433,3.44524667306927,0.42760000000000004,0.0
16,16,"(41.43867327596784, 2.1993862551073216)","(41.43677916671084, 2.1961382675005674)",49.9,346.4,6.94188376753507,14.866999626159668,16.222000122070312,0.0039116642491646,0.3911664249164678,0.0039116442984034,1,0,0,4,1,0.6368915911350715,2.9213022556818466,0.3464,0.0
17,17,"(41.43677916671084, 2.1961382675005674)","(41.435555, 2.195897)",19.8,137.5,6.944444444444442,16.222000122070312,19.881000518798828,0.0266109119762073,2.6610911976207388,0.0266046332210243,1,0,0,4,0,0.09559612228129524,2.8257061334005513,0.025,0.15523875128755
18,18,"(41.435555, 2.195897)","(41.435274, 2.19448)",23.8,124.4,5.226890756302521,19.881000518798828,23.85300064086914,0.0319292614314333,3.1929261431433376,0.0319184176732622,0,0,0,4,1,0.4586011638610954,2.367104969539456,0.12440000000000001,0.0
19,19,"(41.435274, 2.19448)","(41.434601, 2.193688)",22.9,117.2,5.117903930131005,23.85300064086914,24.0939998626709,0.0020563073532573,0.2056307353257319,0.002056304454968,0,0,0,4,1,0.15771830218896474,2.2093866673504916,0.1172,0.0
