,Unnamed: 0,From,To,Time,Distance,Avg Speed,Altitude From,Altitude To,Slope,Slope %,Slope Angle,Bus Stop,Final Stop,Zone Type,Green Zone,Solution,Energy consumed,Remaining charge %,Green kms,CO2 emissions
0,0,"(41.41060463316045, 2.215476882422315)","(41.41000306464148, 2.2128988949401704)",34.8,225.7,6.485632183908048,4.625,5.0879998207092285,0.0020513948635765,0.2051394863576555,0.0020513919860095,1,0,0,0,1,0.40131233343848316,8.587474170123027,0.22569999999999998,0.0
1,1,"(41.41000306464148, 2.2128988949401704)","(41.409164810781114, 2.209544689985187)",26.5,294.8,11.124528301886793,5.0879998207092285,5.185999870300293,0.0003324289334839,0.0332428933483936,0.0003324289212384,1,0,0,0,0,0.07395504043233656,8.801220336214891,0.025,0.24646708803230247
2,2,"(41.409164810781114, 2.209544689985187)","(41.40790854167561, 2.204555454044634)",39.5,439.1,11.116455696202534,5.185999870300293,4.309999942779541,-0.0019949895867017,-0.19949895867017803,-0.0019949869400329,1,0,0,0,1,0.8413167637838118,8.239932012001166,0.43910000000000005,0.0
3,3,"(41.40790854167561, 2.204555454044634)","(41.4063572659079, 2.19831235827239)",53.4,548.6,10.273408239700377,4.309999942779541,5.0929999351501465,0.0014272693991443,0.1427269399144377,0.0014272684299829997,1,0,0,0,0,0.07485735714564982,8.419975474897656,0.025,0.3643796709909646
4,4,"(41.4063572659079, 2.19831235827239)","(41.405444214124714, 2.1947042260723233)",30.6,317.6,10.379084967320262,5.0929999351501465,5.25600004196167,0.0005132245176685,0.0513224517668524,0.0005132244726075,1,0,0,0,0,0.07410404490750636,8.598135657198787,0.025,0.2409923590827428
5,5,"(41.405444214124714, 2.1947042260723233)","(41.40457126012947, 2.191226915332414)",27.5,305.8,11.12,5.25600004196167,6.927000045776367,0.0054643558005712,0.5464355800571279,0.0054643014144766,1,0,0,0,0,0.07818432267491059,8.824569670018374,0.025,0.28258652410592466
6,6,"(41.40457126012947, 2.191226915332414)","(41.404266, 2.18802)",269.0,299.0,1.1115241635687731,6.927000045776367,12.18299961090088,0.0175785938632926,1.757859386329268,0.0175767835629548,1,0,1,0,1,0.899471872940318,7.925097797078055,0.299,0.0
7,7,"(41.404266, 2.18802)","(41.40362832319659, 2.186434169726906)",141.0,161.0,1.1418439716312057,12.18299961090088,15.326000213623047,0.0195217428740507,1.9521742874050731,0.0195192635389985,0,0,0,0,0,0.899471872940318,7.928572664539719,0.299,0.1923419560564248
8,8,"(41.40362832319659, 2.186434169726906)","(41.402423, 2.185287)",145.0,166.0,1.1448275862068966,15.326000213623047,15.083000183105467,-0.0014638556055275,-0.1463855605527579,-0.0014638545599099,1,0,1,0,1,0.2507613808495182,7.677811283690201,0.166,0.0
9,9,"(41.402423, 2.185287)","(41.400555953839586, 2.182694553676593)",265.0,302.0,1.1396226415094342,15.083000183105467,13.092000007629395,-0.0065927158128346,-0.6592715812834683,-0.0065926203002746,0,0,0,0,0,0.2507613808495182,7.680763193064249,0.166,0.12575667537139376
10,10,"(41.400555953839586, 2.182694553676593)","(41.399452, 2.181016)",192.0,202.0,1.0520833333333333,13.092000007629395,15.833000183105467,0.0135693077993865,1.3569307799386503,0.0135684750700752,1,0,0,0,0,0.006729626229000279,7.674033566835249,0.025,0.20715618134616748
11,11,"(41.399452, 2.181016)","(41.39873892760221, 2.180295398546257)",97.0,104.0,1.0721649484536082,15.833000183105467,15.763999938964846,-0.0006634638859675,-0.0663463885967548,-0.0006634637886187,0,0,0,0,0,0.006729626229000279,7.677398379949749,0.025,0.06316340546494607
12,12,"(41.39873892760221, 2.180295398546257)","(41.397666, 2.178765)",165.0,187.0,1.1333333333333333,15.763999938964846,16.507999420166016,0.0039786068513431,0.3978606851343165,0.0039785858586721,1,0,0,0,0,0.006202843242655076,7.671195536707094,0.025,0.13540477401020795
13,13,"(41.397666, 2.178765)","(41.396190517010055, 2.176897936515442)",209.0,235.0,1.1244019138755978,16.507999420166016,17.617000579833984,0.0047191538709275,0.4719153870927527,0.0047191188388933,0,0,0,0,0,0.006202843242655076,7.674296958328421,0.025,0.17785890764445692
14,14,"(41.396190517010055, 2.176897936515442)","(41.395519, 2.175328)",155.0,176.0,1.135483870967742,17.617000579833984,19.68600082397461,0.0117556832053444,1.175568320534446,0.0117551417204336,1,0,0,0,0,0.006630034249371967,7.667666924079049,0.025,0.16755522787262553
15,15,"(41.395519, 2.175328)","(41.394802, 2.174716)",98.0,107.0,1.0918367346938775,19.68600082397461,17.924999237060547,-0.0164579587562061,-1.6457958756206192,-0.0164564730392456,0,0,0,0,1,0.06039869154435592,7.607268232534693,0.107,0.0
16,16,"(41.394802, 2.174716)","(41.3937615944896, 2.173665520500619)",141.0,159.0,1.127659574468085,17.924999237060547,19.11400032043457,0.0074779942350567,0.7477994235056751,0.0074778548489293,0,0,0,0,0,0.06039869154435592,7.6105832496593795,0.107,0.13331659857083325
17,17,"(41.3937615944896, 2.173665520500619)","(41.392749, 2.17231)",148.0,167.0,1.1283783783783785,19.11400032043457,20.131000518798828,0.0060898215470913,0.6089821547091364,0.0060897462665417,1,0,0,0,1,0.35179843549350576,7.258784814165874,0.167,0.0
18,18,"(41.392749, 2.17231)","(41.3919370694665, 2.1712363131296697)",119.0,135.0,1.134453781512605,20.131000518798828,20.84600067138672,0.0052962974265769,0.5296297426576968,0.0052962479056764,0,0,0,0,0,0.35179843549350576,7.261944227893313,0.167,0.10422705367375636
19,19,"(41.3919370694665, 2.1712363131296697)","(41.39029536168582, 2.1690549291018546)",243.0,271.0,1.1152263374485596,20.84600067138672,22.30900001525879,0.0053985215641035,0.5398521564103581,0.00539846912012,1,0,0,0,0,0.006280850418849506,7.258803802683889,0.025,0.20936400524527926
