Algorithm,Problem,ExecutionId,IndicatorName,IndicatorValue
Coevolutive_GA_async_fix,data,24,HV,3273.3728076959233
Coevolutive_GA_async_fix,data,29,Time,10935.113661527634

Coevolutive_GA_async_fix,data,2,GD,37.87972211454439
Coevolutive_GA_async_fix,data,2,EP,44.84319999999968
Coevolutive_GA_async_fix,data,2,HV,3221.6180355949073
Coevolutive_GA_async_fix,data,14,GD,21.00899363826347
Coevolutive_GA_async_fix,data,14,EP,26.471999999999866
Coevolutive_GA_async_fix,data,14,HV,4035.240719226318
Coevolutive_GA_async_fix,data,8,Time,27074.904170036316

Coevolutive_GA_async_fix,data,15,GD,56.304879013079955
Coevolutive_GA_async_fix,data,15,EP,62.96799999999973
Coevolutive_GA_async_fix,data,15,HV,2326.9054529971727
