,From,To,Time,Distance,Avg Speed,Altitude From,Altitude To,Slope,Slope %,Slope Angle,Bus Stop,Final Stop,Zone Type,Green Zone
0,"(41.405680464654786, 2.1437060834983344)","(41.405477, 2.144117)",92.5,787.3,8.511351351351351,95.0999984741211,91.98899841308594,-0.0039514798184112,-0.3951479818411224,-0.0039514592522147,1,0,0,0
1,"(41.405477, 2.144117)","(41.4048433621614, 2.140168670464219)",47.7,371.5,7.788259958071277,91.98899841308594,95.52999877929688,0.0095316295187373,0.9531629518737382,0.0095313408787259,0,0,0,0
2,"(41.4048433621614, 2.140168670464219)","(41.406783863617996, 2.1387348325122604)",25.9,256.8,9.915057915057917,95.52999877929688,106.4290008544922,0.0424415968660253,4.2441596866025355,0.0424161411762976,1,0,0,0
3,"(41.406783863617996, 2.1387348325122604)","(41.40836, 2.137831)",17.2,190.8,11.093023255813955,106.4290008544922,116.70800018310548,0.0538731620996503,5.387316209965032,0.053821133662725,1,0,0,0
4,"(41.40836, 2.137831)","(41.40945270670989, 2.1373637839609043)",11.5,127.3,11.069565217391306,116.70800018310548,123.375,0.0523723473440261,5.237234734402617,0.05232454260533,0,0,0,0
5,"(41.40945270670989, 2.1373637839609043)","(41.410353092427066, 2.1376594041560275)",19.5,137.9,7.071794871794872,123.375,128.70599365234378,0.0386584021199691,3.8658402119969177,0.0386391614026404,1,0,0,0
6,"(41.410353092427066, 2.1376594041560275)","(41.411047603513104, 2.138914762727403)",32.5,174.2,5.3599999999999985,128.70599365234378,132.58200073242188,0.022250327669794,2.225032766979406,0.0222466568843643,1,0,0,0
7,"(41.411047603513104, 2.138914762727403)","(41.41064357912179, 2.1407164848190274)",50.2,209.2,4.1673306772908365,132.58200073242188,139.96699523925778,0.035301120969579,3.5301120969579056,0.0352864682013762,1,0,0,0
8,"(41.41064357912179, 2.1407164848190274)","(41.409849219710935, 2.1413192615653176)",28.4,118.3,4.165492957746478,139.96699523925778,157.24000549316406,0.1460102303795963,14.601023037959637,0.1449857071192736,1,0,0,0
9,"(41.409849219710935, 2.1413192615653176)","(41.41017044290914, 2.140087489049468)",49.0,204.1,4.165306122448978,157.24000549316406,134.77499389648438,-0.1100686506451724,-11.00686506451724,-0.1096273561710875,1,0,0,0
10,"(41.41017044290914, 2.140087489049468)","(41.410813, 2.139648)",26.1,108.8,4.168582375478927,134.77499389648438,132.06700134277344,-0.0248896374421961,-2.488963744219612,-0.0248844996909607,1,0,0,0
11,"(41.410813, 2.139648)","(41.41174745989141, 2.1389290436143336)",46.5,211.7,4.552688172043012,132.06700134277344,134.15199279785156,0.0098488023385834,0.9848802338583492,0.0098484839160929,0,0,0,0
12,"(41.41174745989141, 2.1389290436143336)","(41.41210058517856, 2.1381901848073546)",17.6,151.7,8.61931818181818,134.15199279785156,137.70599365234378,0.0234278236947408,2.3427823694740857,0.0234235388844517,1,0,0,0
13,"(41.41210058517856, 2.1381901848073546)","(41.41449581491972, 2.1382620127469254)",37.9,294.7,7.775725593667545,137.70599365234378,152.14199829101562,0.0489854246307155,4.898542463071557,0.0489462995970036,1,0,0,0
14,"(41.41449581491972, 2.1382620127469254)","(41.41525732385387, 2.139221752162934)",21.7,142.3,6.557603686635946,152.14199829101562,-16307.429000854492,-115.66810259413568,-11566.810259413567,-1.56215111636758,1,1,0,0
15,"(41.41525732385387, 2.139221752162934)","(41.41514348665727, 2.140043098184592)",30.3,112.7,3.71947194719472,-16307.429000854492,-32767.0,-146.04765749019967,-14604.765749019967,-1.563949353757996,1,0,0,0
16,"(41.41514348665727, 2.140043098184592)","(41.415362819941514, 2.138463350908317)",21.0,149.2,7.1047619047619035,-32767.0,-16297.37449645996,110.3862299164882,11038.62299164882,1.5617374736541247,1,0,0,0
17,"(41.415362819941514, 2.138463350908317)","(41.416117, 2.136916)",28.6,164.7,5.758741258741258,-16297.37449645996,172.25100708007812,99.99772619028562,9999.77261902856,1.5607964327448265,1,0,0,0
18,"(41.416117, 2.136916)","(41.416129, 2.136631)",157.9,1049.5,6.646611779607348,172.25100708007812,173.86399841308594,0.0015369140857625,0.1536914085762565,0.0015369128756468,0,0,0,0
19,"(41.416129, 2.136631)","(41.41464420488459, 2.1367042102739906)",32.4,204.1,6.299382716049383,173.86399841308594,161.0469970703125,-0.0627976547906586,-6.279765479065869,-0.0627153010937934,0,0,0,0
20,"(41.41464420488459, 2.1367042102739906)","(41.414112, 2.137727)",18.8,103.3,5.49468085106383,161.0469970703125,151.19700622558594,-0.095353251159018,-9.535325115901806,-0.0950658259134566,1,0,0,0
21,"(41.414112, 2.137727)","(41.41342827872552, 2.138571029043711)",13.4,104.0,7.761194029850746,151.19700622558594,144.2689971923828,-0.0666154714731069,-6.661547147310697,-0.0665171949365257,0,0,0,0
22,"(41.41342827872552, 2.138571029043711)","(41.412338, 2.140041)",15.7,172.4,10.980891719745223,144.2689971923828,134.822998046875,-0.0547911783382123,-5.479117833821237,-0.0547364478442832,1,0,0,0
23,"(41.412338, 2.140041)","(41.41144582476544, 2.141050009401413)",18.5,134.0,7.243243243243242,134.822998046875,134.43899536132812,-0.0028656916831856,-0.2865691683185634,-0.0028656838386905,0,0,0,0
24,"(41.41144582476544, 2.141050009401413)","(41.41078906871122, 2.142682554267781)",41.0,170.7,4.163414634146341,134.43899536132812,142.75900268554688,0.0487405232818907,4.874052328189075,0.0487019815806955,1,0,0,0
25,"(41.41078906871122, 2.142682554267781)","(41.41005255738966, 2.1439774751934446)",36.5,151.9,4.161643835616439,142.75900268554688,126.6060028076172,-0.1063396963655674,-10.633969636556738,-0.1059415597963506,1,0,0,0
26,"(41.41005255738966, 2.1439774751934446)","(41.40892694894605, 2.1451685719518885)",39.0,162.7,4.171794871794871,126.6060028076172,108.55599975585938,-0.1109403998264155,-11.094039982641556,-0.1104885885761315,1,0,0,0
27,"(41.40892694894605, 2.1451685719518885)","(41.407628504959874, 2.146537851827897)",44.2,184.1,4.165158371040723,108.55599975585938,95.73200225830078,-0.0696577810839684,-6.9657781083968455,-0.0695454433094495,1,0,0,0
28,"(41.407628504959874, 2.146537851827897)","(41.408002143857935, 2.145065267690267)",57.9,209.2,3.6131260794473232,95.73200225830078,106.11100006103516,0.0496128002042752,4.961280020427521,0.049572154071963,1,0,0,0
29,"(41.408002143857935, 2.145065267690267)","(41.4064522605433, 2.1439744215711993)",53.6,223.3,4.166044776119403,106.11100006103516,101.75,-0.0195297808375958,-1.9529780837595856,-0.0195272984391947,1,0,0,0
30,"(41.4064522605433, 2.1439744215711993)","(41.405680464654786, 2.1437060834983344)",26.7,111.3,4.168539325842697,101.75,95.0999984741211,-0.0597484413825598,-5.974844138255981,-0.0596774951017649,1,0,0,0
