,From,To,Time,Distance,Avg Speed,Altitude From,Altitude To,Slope,Slope %,Slope Angle,Bus Stop,Final Stop,Zone Type,Green Zone
0,"(41.38157532616265, 2.1402065903102)","(41.38121193159132, 2.1413434217861638)",32.3,223.4,6.916408668730651,34.222000122070305,32.602001190185554,-0.0072515619153301,-0.7251561915330196,-0.0072514348111829,1,0,0,0
1,"(41.38121193159132, 2.1413434217861638)","(41.37836933690188, 2.1452130698753638)",92.4,478.8,5.181818181818182,32.602001190185554,29.43600082397461,-0.0066123650087947,-0.6612365008794774,-0.0066122686396934,1,0,0,0
2,"(41.37836933690188, 2.1452130698753638)","(41.377269, 2.146989)",34.2,203.7,5.956140350877192,29.43600082397461,29.34700012207031,-0.0004369204806298,-0.0436920480629832,-0.0004369204528272,1,0,0,0
3,"(41.377269, 2.146989)","(41.37655750967279, 2.1457040051530814)",36.4,153.5,4.217032967032966,29.34700012207031,29.257999420166016,-0.000579809132927,-0.0579809132927015,-0.0005798090679538,0,0,0,0
4,"(41.37655750967279, 2.1457040051530814)","(41.374265920817216, 2.1424721817946524)",97.4,419.1,4.302874743326488,29.257999420166016,22.222999572753903,-0.0167859695714915,-1.6785969571491552,-0.0167843932506197,1,0,0,0
5,"(41.374265920817216, 2.1424721817946524)","(41.372711, 2.142435)",41.7,173.6,4.163069544364508,22.222999572753903,18.009000778198242,-0.0242741866045833,-2.427418660458332,-0.0242694205468356,1,0,0,0
6,"(41.372711, 2.142435)","(41.3712541173787, 2.1423473895304816)",38.9,162.1,4.167095115681234,18.009000778198242,17.60700035095215,-0.0024799532834428,-0.2479953283442898,-0.0024799481994183,0,0,0,0
7,"(41.3712541173787, 2.1423473895304816)","(41.369643515861185, 2.14170545703743)",48.9,203.8,4.167689161554192,17.60700035095215,15.562999725341797,-0.0100294436977936,-1.002944369779368,-0.0100291074317074,1,0,0,0
8,"(41.369643515861185, 2.14170545703743)","(41.368595, 2.140308)",40.4,165.4,4.0940594059405955,15.562999725341797,12.809000015258787,-0.0166505423826058,-1.665054238260585,-0.0166490039032745,1,0,0,0
9,"(41.368595, 2.140308)","(41.368052531669974, 2.139160047038216)",34.7,176.9,5.097982708933717,12.809000015258787,13.675999641418455,0.0049010719398511,0.4901071939851147,0.0049010326983404,0,0,0,0
10,"(41.368052531669974, 2.139160047038216)","(41.368988, 2.138215)",128.6,517.2,4.021772939346811,13.675999641418455,18.66399955749512,0.0096442380434583,0.9644238043458352,0.0096439390523497,1,0,0,0
11,"(41.368988, 2.138215)","(41.369867954884135, 2.1366013844802967)",45.5,189.6,4.167032967032966,18.66399955749512,15.809000015258787,-0.0150580144632717,-1.5058014463271774,-0.0150568765142769,0,0,0,0
12,"(41.369867954884135, 2.1366013844802967)","(41.36925044211251, 2.1335133619134043)",64.5,268.6,4.164341085271318,15.809000015258787,14.317999839782717,-0.0055510058655103,-0.5551005865510328,-0.0055509488509506,1,0,0,0
13,"(41.36925044211251, 2.1335133619134043)","(41.36824804623057, 2.132977620324889)",37.7,160.9,4.267904509283818,14.317999839782717,13.901000022888184,-0.0025916707078591,-0.2591670707859113,-0.0025916649053416,1,1,0,0
14,"(41.36824804623057, 2.132977620324889)","(41.36952400480533, 2.1345874365629625)",85.9,471.1,5.484284051222351,13.901000022888184,14.291000366210938,0.0008278504422049,0.0827850442204954,0.0008278502530863,1,0,0,0
15,"(41.36952400480533, 2.1345874365629625)","(41.37035672642032, 2.137710402946259)",76.2,317.7,4.169291338582677,14.291000366210938,20.222000122070312,0.0186685544723304,1.866855447233042,0.0186663861690966,1,0,0,0
16,"(41.37035672642032, 2.137710402946259)","(41.371936896280246, 2.1370487174098622)",44.2,184.1,4.165158371040723,20.222000122070312,27.1299991607666,0.0375230800581004,3.7523080058100433,0.037505484319084,1,0,0,0
17,"(41.371936896280246, 2.1370487174098622)","(41.37422798771219, 2.136370964393359)",63.1,263.1,4.169572107765451,27.1299991607666,34.46699905395508,0.0278867346757448,2.788673467574488,0.02787950915484,1,0,0,0
18,"(41.37422798771219, 2.136370964393359)","(41.37570853051493, 2.1361524439563047)",40.0,166.5,4.1625,34.46699905395508,31.11599922180176,-0.0201261251180379,-2.012612511803796,-0.0201234083427495,1,0,0,0
19,"(41.37570853051493, 2.1361524439563047)","(41.377614347814955, 2.1385908385750994)",49.3,307.8,6.243407707910751,31.11599922180176,30.50200080871582,-0.001994796663697,-0.1994796663697002,-0.0019947940177958,1,0,0,0
20,"(41.377614347814955, 2.1385908385750994)","(41.380302, 2.140636)",92.6,449.9,4.8585313174946005,30.50200080871582,30.52300071716309,4.667683584633391e-05,0.0046676835846333,4.667683581243522e-05,1,0,0,0
21,"(41.380302, 2.140636)","(41.38109806418165, 2.1441298665742266)",107.8,449.0,4.1651205936920235,30.52300071716309,31.38999938964844,0.0019309547271388,0.1930954727138868,0.0019309523272338,0,0,0,0
22,"(41.38109806418165, 2.1441298665742266)","(41.38157532616265, 2.1402065903102)",104.6,460.3,4.40057361376673,31.38999938964844,34.222000122070305,0.0061525108242925,0.6152510824292581,0.0061524331949262,1,0,0,0
