,From,To,Time,Distance,Avg Speed,Altitude From,Altitude To,Slope,Slope %,Slope Angle,Bus Stop,Final Stop,Zone Type,Green Zone
0,"(41.39554671841874, 2.1256185380706385)","(41.3960400501246, 2.124157762972833)",34.8,145.2,4.172413793103448,94.15299987792967,96.71299743652344,0.0176308371803977,1.7630837180397727,0.0176290106935019,1,0,0,0
1,"(41.3960400501246, 2.124157762972833)","(41.396312, 2.12292)",29.8,109.1,3.661073825503356,96.71299743652344,100.6449966430664,0.0360403226997522,3.604032269975224,0.0360247305328205,1,0,0,0
2,"(41.396312, 2.12292)","(41.39719514091257, 2.122047658103816)",29.5,123.0,4.169491525423728,100.6449966430664,106.18299865722656,0.0450244066191882,4.5024406619188255,0.0449940191212898,0,0,0,0
3,"(41.39719514091257, 2.122047658103816)","(41.39717817537224, 2.120183991323402)",47.1,209.2,4.441613588110403,106.18299865722656,102.88999938964844,-0.0157409142809661,-1.5740914280966185,-0.01573961439861,1,0,0,0
4,"(41.39717817537224, 2.120183991323402)","(41.39809813036317, 2.1192194532395385)",23.6,138.4,5.864406779661016,102.88999938964844,108.96700286865234,0.0439089846748837,4.390898467488372,0.0438807984482826,1,0,0,0
5,"(41.39809813036317, 2.1192194532395385)","(41.398886, 2.118217)",10.9,121.5,11.146788990825687,108.96700286865234,117.3239974975586,0.0687818487975823,6.878184879758231,0.0686736879911594,1,0,0,0
6,"(41.398886, 2.118217)","(41.399322, 2.116994)",13.3,114.1,8.57894736842105,117.3239974975586,127.98400115966795,0.0934268506758052,9.342685067580524,0.0931564376595965,0,0,0,0
7,"(41.399322, 2.116994)","(41.3998754633079, 2.118133158559694)",27.3,113.9,4.172161172161172,127.98400115966795,124.5469970703125,-0.0301756285281428,-3.0175628528142835,-0.0301664745359825,0,0,0,0
8,"(41.3998754633079, 2.118133158559694)","(41.40093323425315, 2.1202341408408905)",50.7,211.1,4.163708086785009,124.5469970703125,128.16099548339844,0.0171198408957173,1.7119840895717373,0.017118168644368,1,0,1,0
9,"(41.40093323425315, 2.1202341408408905)","(41.40227159249506, 2.119246949462455)",43.0,179.0,4.162790697674419,128.16099548339844,135.11799621582028,0.0388659258794518,3.886592587945181,0.0388463738236111,1,0,1,0
10,"(41.40227159249506, 2.119246949462455)","(41.40346614786101, 2.117158881966161)",52.5,218.9,4.1695238095238105,135.11799621582028,145.21600341796875,0.0461306861678777,4.613068616787773,0.0460980052339084,1,0,1,0
11,"(41.40346614786101, 2.117158881966161)","(41.40385073132435, 2.114969486116324)",45.1,188.1,4.170731707317073,145.21600341796875,150.76300048828125,0.0294896175986842,2.948961759868421,0.0294810736301067,1,0,1,0
12,"(41.40385073132435, 2.114969486116324)","(41.402565, 2.115181)",50.3,303.3,6.029821073558649,150.76300048828125,151.3300018310547,0.0018694406289925,0.186944062899254,0.0018694384512182,1,0,0,0
13,"(41.402565, 2.115181)","(41.401836827411266, 2.114362878824921)",9.6,106.5,11.09375,151.3300018310547,152.7220001220703,0.0130704064884096,1.3070406488409625,0.0130696622681035,0,0,0,0
14,"(41.401836827411266, 2.114362878824921)","(41.400607256800164, 2.113285184398412)",34.9,171.0,4.899713467048711,152.7220001220703,156.78900146484375,0.0237836335834703,2.3783633583470394,0.023779150611764,1,0,0,0
15,"(41.400607256800164, 2.113285184398412)","(41.400857527235544, 2.1121789046852233)",29.2,128.7,4.4075342465753415,156.78900146484375,164.23199462890625,0.0578321147168803,5.783211471688035,0.0577677695906183,1,0,0,0
16,"(41.400857527235544, 2.1121789046852233)","(41.40217445725856, 2.1102933244733917)",54.5,227.0,4.165137614678899,164.23199462890625,179.06399536132812,0.0653392102749862,6.533921027498622,0.0652464654056307,1,0,0,0
17,"(41.40217445725856, 2.1102933244733917)","(41.401998921979626, 2.109106086323901)",26.5,110.2,4.158490566037736,179.06399536132812,196.22000122070312,0.1556806339326225,15.56806339326225,0.1544408969004551,1,0,0,0
18,"(41.401998921979626, 2.109106086323901)","(41.40232339679755, 2.107369973094286)",40.9,170.6,4.171149144254279,196.22000122070312,226.22000122070312,0.1758499413833529,17.58499413833529,0.1740702326572993,1,0,0,0
19,"(41.40232339679755, 2.107369973094286)","(41.402362899003876, 2.106684641799361)",47.1,196.4,4.169851380042463,226.22000122070312,249.0780029296875,0.116384937418454,11.638493741845403,0.1158636717808287,1,0,0,0
20,"(41.402362899003876, 2.106684641799361)","(41.40315668769614, 2.108480111820202)",50.1,208.6,4.163672654690618,249.0780029296875,229.35400390625,-0.0945541659800455,-9.455416598004554,-0.0942738811131889,1,0,0,0
21,"(41.40315668769614, 2.108480111820202)","(41.403846047556556, 2.1085728938456825)",20.1,83.7,4.164179104477612,229.35400390625,227.19000244140625,-0.0258542588392323,-2.5854258839232376,-0.0258485004516845,1,0,0,0
22,"(41.403846047556556, 2.1085728938456825)","(41.403846, 2.109498)",26.0,123.7,4.7576923076923086,227.19000244140625,212.70700073242188,-0.1170816629667289,-11.708166296672898,-0.1165510308915746,1,0,0,0
23,"(41.403846, 2.109498)","(41.403153131604995, 2.1097704418307734)",18.8,101.9,5.420212765957447,212.70700073242188,198.7120056152344,-0.1373404820136163,-13.73404820136163,-0.1364866010615587,0,0,0,0
24,"(41.403153131604995, 2.1097704418307734)","(41.402405, 2.11055)",19.1,106.2,5.5602094240837685,198.7120056152344,180.6540069580078,-0.1700376521396098,-17.003765213960982,-0.1684267514767724,1,0,0,0
25,"(41.402405, 2.11055)","(41.40180611544919, 2.112005719259373)",31.2,146.4,4.6923076923076925,180.6540069580078,167.08999633789062,-0.0926503457658278,-9.265034576582778,-0.092386596669737,0,1,0,0
26,"(41.40180611544919, 2.112005719259373)","(41.40128118295567, 2.113442100309682)",32.4,135.1,4.169753086419753,167.08999633789062,154.52999877929688,-0.0929681536535436,-9.296815365354368,-0.0927016904764797,1,0,0,0
27,"(41.40128118295567, 2.113442100309682)","(41.401208, 2.113774)",79.1,199.7,2.524652338811631,154.52999877929688,153.58200073242188,-0.004747110900726,-0.474711090072609,-0.0047470752423955,1,0,0,0
28,"(41.401208, 2.113774)","(41.40160978164693, 2.1147914687309806)",46.5,143.8,3.0924731182795697,153.58200073242188,151.7830047607422,-0.012510403141027,-1.251040314102703,-0.0125097505337991,0,0,1,0
29,"(41.40160978164693, 2.1147914687309806)","(41.402741, 2.116016)",14.6,162.2,11.109589041095886,151.7830047607422,148.58299255371094,-0.0197288052221408,-1.972880522214088,-0.0197262461667052,1,0,1,0
30,"(41.402741, 2.116016)","(41.404003702122814, 2.11713307767997)",20.5,170.0,8.292682926829269,148.58299255371094,148.1269989013672,-0.002682315602022,-0.2682315602022059,-0.0026823091691265,0,0,1,0
31,"(41.404003702122814, 2.11713307767997)","(41.40414343768204, 2.1180161073327266)",19.2,108.4,5.645833333333334,148.1269989013672,148.59100341796875,0.0042804844704941,0.4280484470494119,0.0042804583276551,1,0,0,0
32,"(41.40414343768204, 2.1180161073327266)","(41.403363, 2.118871)",82.2,481.5,5.857664233576642,148.59100341796875,138.76300048828122,-0.0204112210377725,-2.041122103777259,-0.0204083871858028,1,0,0,0
33,"(41.403363, 2.118871)","(41.402008150601034, 2.1204401783307647)",19.1,200.7,10.50785340314136,138.76300048828122,131.60899353027344,-0.0356452763229088,-3.5645276322908885,-0.0356301910284596,0,0,0,0
34,"(41.402008150601034, 2.1204401783307647)","(41.400592, 2.122732)",27.5,249.5,9.072727272727274,131.60899353027344,120.06600189208984,-0.046264495543822,-4.6264495543822015,-0.0462315296395452,1,0,0,0
35,"(41.400592, 2.122732)","(41.39932622942131, 2.120568270866038)",38.3,265.0,6.919060052219321,120.06600189208984,120.66799926757812,0.0022716882093897,0.227168820938974,0.0022716843016685,0,0,0,0
36,"(41.39932622942131, 2.120568270866038)","(41.39905, 2.120887)",78.0,322.2,4.13076923076923,120.66799926757812,119.39099884033205,-0.0039633781106334,-0.3963378110633438,-0.0039633573580976,1,0,0,0
37,"(41.39905, 2.120887)","(41.3976287900741, 2.1220148060244424)",50.4,209.9,4.16468253968254,119.39099884033205,108.21800231933594,-0.0532300930014106,-5.323009300141063,-0.0531799034913478,0,0,0,0
38,"(41.3976287900741, 2.1220148060244424)","(41.396995, 2.120764)",153.1,794.4,5.188765512736773,108.21800231933594,102.6449966430664,-0.007015364647872,-0.7015364647872019,-0.0070152495634155,1,0,0,0
39,"(41.396995, 2.120764)","(41.39554423846015, 2.1199557699023495)",23.3,193.4,8.300429184549358,102.6449966430664,97.7480010986328,-0.0253205560725625,-2.532055607256253,-0.0253151468924412,0,0,0,0
40,"(41.39554423846015, 2.1199557699023495)","(41.394936, 2.120399)",64.0,327.6,5.11875,97.7480010986328,95.6439971923828,-0.0064224783463064,-0.642247834630647,-0.0064223900432079,1,0,0,0
41,"(41.394936, 2.120399)","(41.393569, 2.121108)",34.8,170.1,4.887931034482759,95.6439971923828,91.13999938964844,-0.0264785291166042,-2.6478529116604204,-0.0264723435758331,0,0,1,0
42,"(41.393569, 2.121108)","(41.39282324022975, 2.1216920449673853)",18.2,123.4,6.780219780219781,91.13999938964844,88.83200073242188,-0.0187033926841698,-1.8703392684169875,-0.018701212220873,0,0,1,0
43,"(41.39282324022975, 2.1216920449673853)","(41.39391178830948, 2.123629932125176)",48.4,201.8,4.169421487603306,88.83200073242188,92.66000366210938,0.0189692910291749,1.8969291029174928,0.0189670162549764,1,0,1,0
44,"(41.39391178830948, 2.123629932125176)","(41.393853383169024, 2.1262403689870064)",123.3,513.9,4.1678832116788325,92.66000366210938,87.53600311279297,-0.0099708125108316,-0.9970812510831693,-0.0099704821074448,1,0,1,0
45,"(41.393853383169024, 2.1262403689870064)","(41.39554671841874, 2.1256185380706385)",47.8,199.0,4.163179916317992,87.53600311279297,94.15299987792967,0.0332512400258126,3.325124002581266,0.0332389934603132,1,0,0,0
