,From,To,Time,Distance,Avg Speed,Altitude From,Altitude To,Slope,Slope %,Slope Angle,Bus Stop,Final Stop,Zone Type,Green Zone
0,"(41.37667116024443, 2.160486763955262)","(41.37723672699396, 2.1583716885186135)",58.4,261.2,4.472602739726027,13.364999771118164,14.92300033569336,0.0059647801093996,0.5964780109399677,0.0059647093713977,1,0,0,0
1,"(41.37723672699396, 2.1583716885186135)","(41.378171055929236, 2.158158403744033)",19.9,157.3,7.904522613065327,14.92300033569336,15.354000091552734,0.0027399857333717,0.2739985733371741,0.0027399788765684,1,0,0,0
2,"(41.378171055929236, 2.158158403744033)","(41.380647042925844, 2.1614547399054937)",36.6,389.2,10.633879781420765,15.354000091552734,15.447999954223633,0.0002415207160095,0.0241520716009502,0.0002415207113133,1,0,0,0
3,"(41.380647042925844, 2.1614547399054937)","(41.380340307681855, 2.1637442686458632)",76.5,255.9,3.3450980392156864,15.447999954223633,13.772000312805176,-0.0065494319711545,-0.654943197115458,-0.006549338327474,1,0,0,0
4,"(41.380340307681855, 2.1637442686458632)","(41.38047796915527, 2.1664602993251387)",163.6,227.2,1.3887530562347188,13.772000312805176,11.520000457763672,-0.0099119711929643,-0.9911971192964368,-0.0099116466043821,1,0,0,0
5,"(41.38047796915527, 2.1664602993251387)","(41.37930590847562, 2.1682243335013176)",95.6,234.4,2.4518828451882846,11.520000457763672,7.947000026702881,-0.0152431759004299,-1.5243175900429995,-0.0152419954586054,1,0,0,0
6,"(41.37930590847562, 2.1682243335013176)","(41.377629989022545, 2.1702177316572215)",37.8,247.9,6.5582010582010595,7.947000026702881,5.4730000495910645,-0.0099798304845172,-0.9979830484517208,-0.0099794991838677,1,0,0,0
7,"(41.377629989022545, 2.1702177316572215)","(41.37662775759489, 2.1730816236049733)",77.2,277.4,3.5932642487046627,5.4730000495910645,5.510000228881836,0.000133382045028,0.0133382045028015,0.000133382044237,1,0,0,0
8,"(41.37662775759489, 2.1730816236049733)","(41.37606178256497, 2.1759496220210695)",82.3,247.8,3.0109356014580806,5.510000228881836,5.11299991607666,-0.0016020997288344,-0.1602099728834446,-0.0016020983581208,1,0,0,0
9,"(41.37606178256497, 2.1759496220210695)","(41.375713, 2.177369)",18.1,125.7,6.944751381215469,5.11299991607666,4.23799991607666,-0.0069610182975338,-0.6961018297533811,-0.0069609058669553,1,0,0,1
10,"(41.375713, 2.177369)","(41.376695172643245, 2.178541261260127)",41.9,204.7,4.885441527446301,4.23799991607666,4.388999938964844,0.0007376649872407,0.073766498724076,0.0007376648534407,0,0,0,1
11,"(41.376695172643245, 2.178541261260127)","(41.3788454755641, 2.1802776137911715)",22.4,279.6,12.482142857142858,4.388999938964844,4.552000045776367,0.0005829760615576,0.0582976061557666,0.000582975995514,1,0,0,1
