,From,To,Time,Distance,Avg Speed,Altitude From,Altitude To,Slope,Slope %,Slope Angle,Bus Stop,Final Stop,Zone Type,Green Zone
0,"(41.37554737996402, 2.135554292838076)","(41.3771269419944, 2.1376453016698425)",62.3,316.9,5.086677367576244,31.17600059509277,30.035999298095703,-0.003597353414317,-0.3597353414317041,-0.003597337896712,1,0,0,0
1,"(41.3771269419944, 2.1376453016698425)","(41.380302, 2.140636)",107.2,546.3,5.096082089552239,30.035999298095703,30.52300071716309,0.0008914541809763,0.0891454180976355,0.000891453944833,1,0,0,0
2,"(41.380302, 2.140636)","(41.3795663284827, 2.14133367509826)",33.1,104.1,3.1450151057401814,30.52300071716309,30.540000915527344,0.0001633064204059,0.0163306420405934,0.0001633064189541,0,0,0,0
3,"(41.3795663284827, 2.14133367509826)","(41.38047215602627, 2.1436143326882826)",54.2,233.0,4.2988929889298895,30.540000915527344,31.632999420166016,0.0046909807066037,0.4690980706603742,0.0046909462982454,1,0,0,0
4,"(41.38047215602627, 2.1436143326882826)","(41.3807, 2.146928)",54.0,344.3,6.375925925925926,31.632999420166016,29.45199966430664,-0.0063345912165535,-0.6334591216553515,-0.0063345064891159,1,0,0,0
5,"(41.3807, 2.146928)","(41.38104836638838, 2.147948033000961)",15.6,120.8,7.743589743589744,29.45199966430664,27.270999908447266,-0.0180546337405577,-1.8054633740557744,-0.0180526723690386,0,0,0,0
6,"(41.38104836638838, 2.147948033000961)","(41.3835759022604, 2.1513030729590037)",41.0,396.8,9.678048780487805,27.270999908447266,26.52700042724609,-0.0018749986925432,-0.1874998692543276,-0.0018749964952868,1,0,0,0
7,"(41.3835759022604, 2.1513030729590037)","(41.38602007806764, 2.1545372876502054)",45.7,383.5,8.391684901531729,26.52700042724609,26.85000038146973,0.0008422423838947,0.084224238389474,0.0008422421847403,1,0,0,0
8,"(41.38602007806764, 2.1545372876502054)","(41.38854563338069, 2.157891256250179)",35.5,396.6,11.171830985915491,26.85000038146973,29.95299911499023,0.0078240008409493,0.7824000840949339,0.0078238411981039,1,0,0,0
9,"(41.38854563338069, 2.157891256250179)","(41.390198101499976, 2.160080878305513)",20.7,259.2,12.521739130434783,29.95299911499023,31.60300064086914,0.0063657466276192,0.6365746627619238,0.0063656606438989,1,0,0,0
10,"(41.390198101499976, 2.160080878305513)","(41.39234566903645, 2.162947820525286)",29.6,338.1,11.422297297297296,31.60300064086914,32.009998321533196,0.0012037790022598,0.1203779002259871,0.0012037784208014,1,0,0,0
11,"(41.39234566903645, 2.162947820525286)","(41.394665715733176, 2.166027845652521)",43.0,364.2,8.469767441860466,32.009998321533196,31.8439998626709,-0.0004557892884742,-0.0455789288474202,-0.0004557892569117,1,0,0,0
12,"(41.394665715733176, 2.166027845652521)","(41.39698770791255, 2.1691093559853383)",40.5,364.2,8.992592592592592,31.8439998626709,30.18899917602539,-0.0045442083653089,-0.4544208365308918,-0.0045441770866535,1,0,0,0
13,"(41.39698770791255, 2.1691093559853383)","(41.39887304932722, 2.171627740393997)",32.1,296.8,9.246105919003115,30.18899917602539,28.614999771118164,-0.0053032324963181,-0.5303232496318149,-0.0053031827806341,1,0,0,0
14,"(41.39887304932722, 2.171627740393997)","(41.400688371844836, 2.1740578333392984)",37.9,286.3,7.554089709762533,28.614999771118164,27.92499923706055,-0.0024100612436521,-0.2410061243652173,-0.0024100565774723,1,0,0,0
15,"(41.400688371844836, 2.1740578333392984)","(41.40320779542744, 2.1774174152916523)",38.9,396.2,10.18508997429306,27.92499923706055,24.40699958801269,-0.0088793529758905,-0.8879352975890589,-0.0088791196289221,1,0,0,0
16,"(41.40320779542744, 2.1774174152916523)","(41.40468793175022, 2.179402818280248)",23.3,233.7,10.030042918454935,24.40699958801269,24.209999084472656,-0.0008429632158324,-0.084296321583243,-0.0008429630161662,1,0,0,0
17,"(41.40468793175022, 2.179402818280248)","(41.406488407057125, 2.18180444703651)",25.5,283.3,11.109803921568629,24.209999084472656,22.05500030517578,-0.0076067729590429,-0.7606772959042976,-0.0076066262472482,1,0,0,0
