,From,To,Time,Distance,Avg Speed,Altitude From,Altitude To,Slope,Slope %,Slope Angle,Bus Stop,Final Stop,Zone Type,Green Zone
0,"(41.40035535344428, 2.1988567657175837)","(41.39878026113596, 2.196766926610461)",59.3,247.2,4.168634064080944,2.9409999847412114,3.4270000457763667,0.0019660196643817,0.19660196643817,0.001966017131346,1,0,0,0
1,"(41.39878026113596, 2.196766926610461)","(41.40132332124267, 2.191976078470059)",74.1,580.1,7.828609986504724,3.4270000457763667,5.195000171661377,0.0030477506048698,0.3047750604869866,0.0030477411682903,1,0,0,0
2,"(41.40132332124267, 2.191976078470059)","(41.40313768915645, 2.189593386507206)",27.2,283.2,10.411764705882351,5.195000171661377,8.817000389099121,0.0127895487903875,1.2789548790387515,0.0127888515190806,1,0,0,0
3,"(41.40313768915645, 2.189593386507206)","(41.404852192547715, 2.187279816091337)",53.6,271.2,5.059701492537314,8.817000389099121,12.609999656677244,0.0139859854999193,1.3985985499919342,0.0139850736843584,1,0,1,0
4,"(41.404852192547715, 2.187279816091337)","(41.40821381185608, 2.187132950498007)",40.4,381.7,9.448019801980198,12.609999656677244,17.19099998474121,0.0120015727745977,1.2001572774597755,0.0120009965978824,1,0,0,0
5,"(41.40821381185608, 2.187132950498007)","(41.41107141251954, 2.187052587773334)",56.3,318.4,5.655417406749556,17.19099998474121,20.006999969482425,0.0088442210576043,0.8844221057604306,0.0088439904693769,1,0,0,0
6,"(41.41107141251954, 2.187052587773334)","(41.41449277651683, 2.18572361087356)",76.4,443.8,5.808900523560209,20.006999969482425,25.256999969482425,0.0118296529968454,1.1829652996845426,0.0118291012265727,1,0,0,0
7,"(41.41449277651683, 2.18572361087356)","(41.415172, 2.184762)",27.5,110.2,4.007272727272728,25.256999969482425,29.20100021362305,0.0357894758996426,3.5789475899642693,0.0357742068794658,1,0,0,0
8,"(41.415172, 2.184762)","(41.416036, 2.183624)",32.8,136.5,4.161585365853659,29.20100021362305,33.14500045776367,0.0288937746823489,2.88937746823489,0.02888573804959,0,0,0,0
9,"(41.416036, 2.183624)","(41.41692386970266, 2.1825449360783926)",43.2,134.0,3.101851851851852,33.14500045776367,35.972999572753906,0.0211044710073898,2.110447100738981,0.0211013385431721,0,0,0,0
10,"(41.41692386970266, 2.1825449360783926)","(41.41615904785441, 2.1808646056503944)",36.5,189.2,5.183561643835616,35.972999572753906,42.41899871826172,0.0340697629255169,3.4069762925516978,0.0340565899537451,1,0,0,0
11,"(41.41615904785441, 2.1808646056503944)","(41.41526944447349, 2.1796682001466987)",25.5,140.6,5.5137254901960775,42.41899871826172,45.14099884033203,0.0193598870702013,1.935988707020137,0.0193574688850287,1,0,0,0
12,"(41.41526944447349, 2.1796682001466987)","(41.414702, 2.178987)",120.1,627.1,5.221482098251458,45.14099884033203,47.862998962402344,0.0043406157264715,0.4340615726471556,0.0043405884663458,1,0,0,0
13,"(41.414702, 2.178987)","(41.414328, 2.178494)",189.7,790.2,4.165524512387981,47.862998962402344,49.45399856567383,0.0020134138234263,0.2013413823426328,0.0020134111027503,0,0,0,0
14,"(41.414328, 2.178494)","(41.413256705008955, 2.17698222701601)",21.6,174.8,8.092592592592592,49.45399856567383,52.0250015258789,0.0147082549210816,1.4708254921081685,0.0147071944329214,0,0,1,0
15,"(41.413256705008955, 2.17698222701601)","(41.411504155337994, 2.173991929606326)",41.4,365.2,8.821256038647341,52.0250015258789,54.75500106811523,0.0074753547158716,0.7475354715871655,0.0074752154772868,1,0,1,0
16,"(41.411504155337994, 2.173991929606326)","(41.4128012216389, 2.172287347950617)",29.2,203.0,6.9520547945205475,54.75500106811523,71.37999725341797,0.0818965329325257,8.18965329325258,0.0817141717362116,1,0,1,0
17,"(41.4128012216389, 2.172287347950617)","(41.413525, 2.171268)",17.2,118.5,6.8895348837209305,71.37999725341797,84.70999908447266,0.1124894669287315,11.248946692873156,0.112018560985624,1,0,1,0
18,"(41.413525, 2.171268)","(41.41423487411256, 2.172284536564723)",28.1,117.3,4.174377224199288,84.70999908447266,81.65799713134766,-0.0260187719789002,-2.6018771978900257,-0.0260129029969249,0,0,1,0
19,"(41.41423487411256, 2.172284536564723)","(41.41491891176247, 2.1732068884621873)",26.2,109.1,4.16412213740458,81.65799713134766,78.52200317382812,-0.0287442159259352,-2.8744215925935213,-0.0287363034040811,1,1,1,0
20,"(41.41491891176247, 2.1732068884621873)","(41.415587, 2.174051)",24.6,102.7,4.17479674796748,78.52200317382812,75.4260025024414,-0.0301460630125289,-3.0146063012528908,-0.0301369358909854,1,0,1,0
21,"(41.415587, 2.174051)","(41.415123155627576, 2.1757937617876992)",51.0,212.3,4.162745098039216,75.4260025024414,63.86200141906738,-0.0544700945990297,-5.447009459902978,-0.0544163195328257,0,0,1,0
22,"(41.415123155627576, 2.1757937617876992)","(41.41389251297532, 2.1774226588393275)",46.3,193.0,4.1684665226781865,63.86200141906738,52.29800033569336,-0.0599171040589327,-5.991710405893277,-0.059845556125885,1,0,1,0
23,"(41.41389251297532, 2.1774226588393275)","(41.412924, 2.178756)",52.1,154.6,2.967370441458733,52.29800033569336,45.18600082397461,-0.0460025841637694,-4.600258416376941,-0.0459701745040235,1,0,1,0
24,"(41.412924, 2.178756)","(41.413428, 2.179417)",102.1,627.5,6.145935357492656,45.18600082397461,43.874000549316406,-0.0020908370910887,-0.209083709108877,-0.0020908340443291,0,0,0,0
25,"(41.413428, 2.179417)","(41.415183007963876, 2.1817799431490568)",31.2,278.4,8.923076923076922,43.874000549316406,40.28800010681152,-0.0128807487158939,-1.2880748715893977,-0.0128800364226278,0,0,0,0
26,"(41.415183007963876, 2.1817799431490568)","(41.415495, 2.182157)",112.3,560.5,4.991095280498665,40.28800010681152,36.70199966430664,-0.006397859843898,-0.6397859843898096,-0.00639777255234,1,0,0,0
27,"(41.415495, 2.182157)","(41.41664872672578, 2.185080945431557)",36.1,340.2,9.42382271468144,36.70199966430664,29.540000915527344,-0.0210523184855358,-2.105231848553585,-0.0210492091823385,0,0,0,0
28,"(41.41664872672578, 2.185080945431557)","(41.41471078829552, 2.1875417440621017)",41.1,297.5,7.238442822384428,29.540000915527344,22.64299964904785,-0.0231831975343848,-2.3183197534384847,-0.0231790455211063,1,0,0,0
29,"(41.41471078829552, 2.1875417440621017)","(41.41339041514817, 2.189308117642089)",19.5,208.1,10.671794871794871,22.64299964904785,16.888999938964847,-0.027650166795209,-2.7650166795209072,-0.0276431235492367,1,0,0,0
30,"(41.41339041514817, 2.189308117642089)","(41.41133553090222, 2.1920251099024446)",36.5,321.7,8.813698630136988,16.888999938964847,9.5,-0.0229686040999839,-2.296860409998397,-0.0229645662971126,1,0,0,0
31,"(41.41133553090222, 2.1920251099024446)","(41.41007311829207, 2.1936912962224553)",18.3,197.6,10.797814207650273,9.5,7.691999912261963,-0.0091497980148686,-0.9149798014868608,-0.009149542690979,1,0,0,0
32,"(41.41007311829207, 2.1936912962224553)","(41.409429, 2.194653)",17.2,107.3,6.238372093023256,7.691999912261963,9.364999771118164,0.0155917973798341,1.5591797379834125,0.0155905340872362,1,0,0,0
33,"(41.409429, 2.194653)","(41.409047, 2.195191)",141.9,636.8,4.4876673713883015,9.364999771118164,7.926000118255615,-0.0022597356357766,-0.2259735635776616,-0.0022597317894131,0,0,0,0
34,"(41.409047, 2.195191)","(41.40790574657253, 2.196605653839188)",17.4,176.8,10.160919540229887,7.926000118255615,4.1649999618530265,-0.0212726253190191,-2.1272625319019163,-0.0212694173946371,0,0,0,0
