,From,To,Time,Distance,Avg Speed,Altitude From,Altitude To,Slope,Slope %,Slope Angle,Bus Stop,Final Stop,Zone Type,Green Zone
0,"(41.37569002848572, 2.1672126448125124)","(41.37486616097471, 2.164506492637661)",117.7,610.6,5.187765505522514,9.96399974822998,11.185999870300291,0.0020013103866202,0.2001310386620229,0.002001307714715,1,0,0,0
1,"(41.37486616097471, 2.164506492637661)","(41.37486065687178, 2.1670408277530555)",27.0,211.7,7.84074074074074,11.185999870300291,10.270999908447266,-0.0043221538113038,-0.4322153811303861,-0.0043221268975341,1,0,0,0
2,"(41.37486065687178, 2.1670408277530555)","(41.37479406571474, 2.170634729830233)",37.1,300.4,8.097035040431265,10.270999908447266,8.394000053405763,-0.0062483350700449,-0.6248335070044954,-0.0062482537567603,1,0,0,0
3,"(41.37479406571474, 2.170634729830233)","(41.37451307464027, 2.174798861891265)",31.4,349.0,11.114649681528665,8.394000053405763,5.565999984741211,-0.0081031520592107,-0.8103152059210748,-0.0081029747123104,1,0,0,0
4,"(41.37451307464027, 2.174798861891265)","(41.37479872356159, 2.177143112281045)",68.2,443.7,6.505865102639296,5.565999984741211,4.1090002059936515,-0.0032837497830686,-0.3283749783068647,-0.0032837379802398,1,0,0,0
5,"(41.37479872356159, 2.177143112281045)","(41.376695172643245, 2.178541261260127)",36.1,251.3,6.961218836565098,4.1090002059936515,4.388999938964844,0.0011142050655439,0.1114205065543937,0.0011142046044665,1,0,0,1
6,"(41.376695172643245, 2.178541261260127)","(41.3788454755641, 2.1802776137911715)",22.4,279.6,12.482142857142858,4.388999938964844,4.552000045776367,0.0005829760615576,0.0582976061557666,0.000582975995514,1,0,0,1
7,"(41.3788454755641, 2.1802776137911715)","(41.38044931397982, 2.1815733936400634)",16.7,208.5,12.48502994011976,4.552000045776367,4.25600004196167,-0.001419664286881,-0.1419664286881042,-0.0014196633331296,1,0,0,1
8,"(41.38044931397982, 2.1815733936400634)","(41.38281597750345, 2.183786759074323)",34.3,320.4,9.341107871720116,4.25600004196167,4.485000133514403,0.0007147318712632,0.0714731871263216,0.0007147317495583,1,0,0,1
9,"(41.38281597750345, 2.183786759074323)","(41.38483869935266, 2.185399375374405)",25.0,263.8,10.552,4.485000133514403,5.7129998207092285,0.0046550405124898,0.4655040512489856,0.0046550068889453,1,0,0,1
10,"(41.38483869935266, 2.185399375374405)","(41.38780425169761, 2.183053903806415)",42.3,434.3,10.267139479905437,5.7129998207092285,6.624000072479247,0.0020976289472024,0.2097628947202439,0.0020976258706551,1,0,0,1
11,"(41.38780425169761, 2.183053903806415)","(41.38998242328878, 2.185052559520668)",44.8,349.8,7.808035714285714,6.624000072479247,6.521999835968018,-0.0002915958733883,-0.0291595873388308,-0.0002915958651236,1,0,0,1
12,"(41.38998242328878, 2.185052559520668)","(41.39358372812628, 2.1875455576411484)",65.6,487.6,7.432926829268293,6.521999835968018,7.99399995803833,0.0030188681748775,0.3018868174877589,0.0030188590040439,1,0,0,1
13,"(41.39358372812628, 2.1875455576411484)","(41.395974177349736, 2.1909147766460304)",62.9,386.8,6.149443561208267,7.99399995803833,6.927999973297119,-0.0027559461859907,-0.2755946185990721,-0.0027559392086655,1,0,0,1
14,"(41.395974177349736, 2.1909147766460304)","(41.397361, 2.192725)",19.5,216.2,11.087179487179489,6.927999973297119,4.497000217437744,-0.0112442171871386,-1.1244217187138643,-0.0112437433452196,1,0,0,0
15,"(41.397361, 2.192725)","(41.398714479795345, 2.1946184046906225)",28.3,218.5,7.720848056537102,4.497000217437744,4.355000019073486,-0.0006498864913696,-0.06498864913696,-0.0006498863998759,0,0,0,0
16,"(41.398714479795345, 2.1946184046906225)","(41.402099456853875, 2.1972063311445855)",398.0,451.0,1.1331658291457287,4.355000019073486,3.0169999599456787,-0.0029667407076004,-0.296674070760046,-0.0029667320036737,1,0,0,0
17,"(41.402099456853875, 2.1972063311445855)","(41.403434, 2.19828)",154.0,173.0,1.1233766233766234,3.0169999599456787,2.490000009536743,-0.0030462424879129,-0.3046242487912922,-0.0030462330653349,1,0,0,0
18,"(41.403434, 2.19828)","(41.40526636847179, 2.1998164351851965)",212.0,242.0,1.1415094339622642,2.490000009536743,3.1040000915527344,0.0025371904215536,0.2537190421553682,0.0025371849773262,0,0,0,0
19,"(41.40526636847179, 2.1998164351851965)","(41.40799151956107, 2.2024326151548532)",104.2,378.3,3.6305182341650672,3.1040000915527344,4.0219998359680185,0.0024266448438151,0.2426644843815181,0.0024266400806475,1,0,1,0
20,"(41.40799151956107, 2.2024326151548532)","(41.408836, 2.202251)",26.6,129.1,4.853383458646617,4.0219998359680185,3.858999967575073,-0.001262586122331,-0.1262586122331095,-0.0012625854514255,1,0,0,0
21,"(41.408836, 2.202251)","(41.41116991076628, 2.2040433787603884)",56.5,300.6,5.320353982300885,3.858999967575073,4.037000179290772,0.0005921497395731,0.0592149739573181,0.0005921496703624,0,0,0,0
22,"(41.41116991076628, 2.2040433787603884)","(41.41259860287797, 2.2050855625163566)",32.1,180.6,5.6261682242990645,4.037000179290772,4.36299991607666,0.001805092673233,0.1805092673233049,0.0018050907126898,1,0,0,0
23,"(41.41259860287797, 2.2050855625163566)","(41.41533147249189, 2.2074021448980137)",86.5,360.4,4.166473988439306,4.36299991607666,4.823499917984009,0.001277746953128,0.1277746953128048,0.0012777462577629,1,0,0,0
24,"(41.41533147249189, 2.2074021448980137)","(41.41626, 2.208219)",32.5,135.2,4.159999999999998,4.823499917984009,5.2839999198913565,0.003406065102865,0.3406065102865005,0.0034060519313856,1,0,0,0
25,"(41.41626, 2.208219)","(41.41615625505865, 2.2124403264720995)",87.2,502.6,5.76376146788991,5.2839999198913565,5.60099983215332,0.0006307200801073,0.0630720080107367,0.0006307199964722,0,0,0,0
26,"(41.41615625505865, 2.2124403264720995)","(41.417910932546945, 2.2158006073081578)",68.0,384.1,5.648529411764707,5.60099983215332,4.9660000801086435,-0.0016532146629645,-0.1653214662964534,-0.001653213156823,1,0,0,0
